Dataset Size,Bubble Sort Time (ms),Heap Sort Time (ms)
1000,35.03766059875488,0.21185874938964844
5000,930.7511329650879,1.1830806732177734
10000,4951.343584060669,3.007030487060547
15000,8443.165111541748,4.126644134521484
20000,15052.623414993286,5.672597885131836
25000,23736.886501312256,7.186126708984375
30000,42976.611852645874,11.176586151123047
35000,55773.338413238525,11.534643173217773
40000,66502.69613265991,13.369035720825195
45000,84474.78775978088,15.319538116455078
50000,127389.64314460754,20.705270767211914
